Product,Price
burgers,60
meatballs,110
eggs,30
chutney,70
turkey,80
avocado,70
mineral_water,20
milk,30
energy_bar,60
whole_wheat_rice,40
green_tea,40
low_fat_yogurt,10
whole_wheat_pasta,50
french_fries,60
soup,90
light_cream,10
shallot,100
frozen_vegetables,30
spaghetti,30
pet_food,10
cookies,80
cooking_oil,100
champagne,100
salmon,50
shrimp,100
chocolate,70
chicken,100
honey,70
oil,30
fresh_tuna,80
tomatoes,50
black_tea,30
extra_dark_chocolate,50
protein_bar,70
red_wine,70
pasta,90
pepper,30
shampoo,80
rice,30
sparkling_water,50
ham,60
body_spray,50
pancakes,40
grated_cheese,80
white_wine,50
toothpaste,30
parmesan_cheese,80
fresh_bread,30
ground_beef,20
frozen_smoothie,20
escalope,50
yams,30
herb_&_pepper,50
tomato_sauce,80
magazines,110
strawberries,110
strong_cheese,50
pickles,20
cake,110
cottage_cheese,10
hot_dogs,90
brownies,110
cereals,60
clothes_accessories,20
bug_spray,10
muffins,70
light_mayo,80
olive_oil,20
gums,50
soda,30
energy_drink,50
cider,60
corn,60
yogurt_cake,20
mint,30
butter,40
asparagus,70
salad,100
french_wine,50
salt,50
almonds,80
tea,60
barbecue_sauce,20
mayonnaise,30
zucchini,100
carrots,50
green_grapes,30
mushroom_cream_sauce,100
tomato_juice,80
candy_bars,30
antioxydant_juice,50
chili,10
mashed_potato,80
nonfat_milk,70
water_spray,80
vegetables_mix,100
chocolate_bread,90
mint_green_tea,100
eggplant,50
blueberries,20
bacon,110
spinach,90
fromage_blanc,10
gluten_free_bar,80
dessert_wine,70
flax_seed,50
hand_protein_bar,50
sandwich,80
baby_food,100
melons,10
cauliflower,90
green_beans,30
ketchup,110
bramble,80
burger_sauce,20
oatmeal,80
_asparagus,90
cream,60
napkins,90
whole_wheat_flour,70
